league,commence_time,home,away,avg_home,avg_draw,avg_away,best_home,best_draw,best_away,ts
soccer_epl,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,,3.469285714285715,,,3.7,,2025-08-16T11:26:49.995513Z
soccer_epl,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,,3.7118604651162785,,,3.9,,2025-08-16T11:26:49.995523Z
soccer_epl,2025-08-16T14:00:00Z,Tottenham Hotspur,Burnley,,4.218837209302327,,,4.5,,2025-08-16T11:26:49.995526Z
soccer_epl,2025-08-16T14:00:00Z,Sunderland,West Ham United,,3.197857142857143,,,3.35,,2025-08-16T11:26:49.995528Z
soccer_epl,2025-08-16T16:30:00Z,Wolverhampton Wanderers,Manchester City,,4.59860465116279,,,4.9,,2025-08-16T11:26:49.995530Z
soccer_epl,2025-08-17T13:00:00Z,Nottingham Forest,Brentford,,3.3445238095238103,,,3.56,,2025-08-16T11:26:49.995533Z
soccer_epl,2025-08-17T13:00:00Z,Chelsea,Crystal Palace,,4.221666666666667,,,4.5,,2025-08-16T11:26:49.995537Z
soccer_epl,2025-08-17T15:30:00Z,Manchester United,Arsenal,,3.724878048780487,,,3.9,,2025-08-16T11:26:49.995539Z
soccer_epl,2025-08-18T19:00:00Z,Leeds United,Everton,,3.35,,,3.5,,2025-08-16T11:26:49.995541Z
soccer_epl,2025-08-22T19:00:00Z,West Ham United,Chelsea,,3.6605882352941177,,,3.95,,2025-08-16T11:26:49.995556Z
