league,utc_date,home,away,match_id,round
soccer_epl,2025-08-16T11:31:00Z,Aston Villa,Newcastle United,soccer_epl_Aston Villa_Newcastle United_20250816T113100Z,
soccer_epl,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,soccer_epl_Brighton and Hove Albion_Fulham_20250816T140000Z,
soccer_epl,2025-08-16T14:00:00Z,Tottenham Hotspur,Burnley,soccer_epl_Tottenham Hotspur_Burnley_20250816T140000Z,
soccer_epl,2025-08-16T14:00:00Z,Sunderland,West Ham United,soccer_epl_Sunderland_West Ham United_20250816T140000Z,
soccer_epl,2025-08-16T16:30:00Z,Wolverhampton Wanderers,Manchester City,soccer_epl_Wolverhampton Wanderers_Manchester City_20250816T163000Z,
soccer_epl,2025-08-17T13:00:00Z,Nottingham Forest,Brentford,soccer_epl_Nottingham Forest_Brentford_20250817T130000Z,
soccer_epl,2025-08-17T13:00:00Z,Chelsea,Crystal Palace,soccer_epl_Chelsea_Crystal Palace_20250817T130000Z,
soccer_epl,2025-08-17T15:30:00Z,Manchester United,Arsenal,soccer_epl_Manchester United_Arsenal_20250817T153000Z,
soccer_epl,2025-08-18T19:00:00Z,Leeds United,Everton,soccer_epl_Leeds United_Everton_20250818T190000Z,
soccer_epl,2025-08-22T19:00:00Z,West Ham United,Chelsea,soccer_epl_West Ham United_Chelsea_20250822T190000Z,
