league,event_id,commence_time,home,away,bookmaker,market,outcome,price,point
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Paddy Power,h2h,Brighton and Hove Albion,2.25,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Paddy Power,h2h,Fulham,3.75,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Paddy Power,h2h,Draw,2.75,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Unibet (IT),h2h,Brighton and Hove Albion,2.15,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Unibet (IT),h2h,Fulham,4.0,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Unibet (IT),h2h,Draw,2.85,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Coral,h2h,Brighton and Hove Albion,2.1,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Coral,h2h,Fulham,4.2,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Coral,h2h,Draw,2.8,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Unibet,h2h,Brighton and Hove Albion,2.15,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Unibet,h2h,Fulham,4.0,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Unibet,h2h,Draw,2.85,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,DraftKings,h2h,Brighton and Hove Albion,2.1,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,DraftKings,h2h,Fulham,4.2,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,DraftKings,h2h,Draw,2.75,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Smarkets,h2h,Brighton and Hove Albion,2.24,
soccer_epl,ad4a48da31810362af7fe32298725571,2025-08-16T14:00:00Z,Brighton and Hove Albion,Fulham,Smarkets,h2h,Fulham,4.5,
